id,query,expected_behavior,expected_intent_class,expected_metric,expected_dimension,expected_time_or_filter,unsupported_reason,aegis_correct,aegis_reason,aegis_needs_human_review,b1_correct,b1_reason,b1_needs_human_review,b2_correct,b2_reason,b2_needs_human_review,b3_correct,b3_reason,b3_needs_human_review
11,Who are the top 10 customers by total spending?,answer,Ranking,revenue,customer,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,missing expected metric evidence: revenue,False
12,Which 5 products generated the highest revenue last month?,answer,Ranking,revenue,product,last_month,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: revenue,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
13,List the top 7 most frequently purchased categories this quarter.,answer,Ranking,order_count,category,current_quarter,,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False
14,Who are the 15 customers with the highest order count in 2023?,answer,Ranking,order_count,customer,year_2023,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,missing expected metric evidence: order_count,False
15,Which 8 suppliers have delivered the most items in the past year?,clarify_or_reject,Ranking,shipment,product,last_year,supplier delivery concept is not in the semantic layer,False,supplier delivery concept is not in the semantic layer,False,False,supplier delivery concept is not in the semantic layer,False,False,supplier delivery concept is not in the semantic layer,False,False,supplier delivery concept is not in the semantic layer,False
16,Who are the top 5 new customers by first‑order value?,answer,Ranking,customer_count,customer,,,False,missing expected metric evidence: customer_count,False,False,missing expected metric evidence: customer_count,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
17,Which 10 products have the highest profit margin this month?,answer,Ranking,profit,product,current_month,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
18,Identify the top 12 countries by sales volume in the last 30 days.,answer,Ranking,revenue,country,last_30_days,,False,missing expected metric evidence: revenue,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected grouping/filter evidence: country,False
19,Which 6 product bundles are purchased together most often?,clarify_or_reject,Ranking,order_count,product,,bundle or basket-pair analysis is not directly supported,False,bundle or basket-pair analysis is not directly supported,False,False,bundle or basket-pair analysis is not directly supported,False,False,bundle or basket-pair analysis is not directly supported,False,False,bundle or basket-pair analysis is not directly supported,False
20,Who are the top 3 referral sources driving the most revenue?,clarify_or_reject,Ranking,revenue,,,referral-source attribution is not directly supported,False,referral-source attribution is not directly supported,False,False,referral-source attribution is not directly supported,False,False,referral-source attribution is not directly supported,False,False,referral-source attribution is not directly supported,False
21,Show sales by month for 2023.,answer,Trend,revenue,date,year_2023,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
22,Display the daily revenue trend for the past 90 days.,answer,Trend,revenue,date,last_90_days,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
23,What are the weekly order count trends for the last 6 months?,answer,Trend,order_count,date,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
24,Show the month‑over‑month growth rate of average order value for 2022‑2023.,answer,Trend,avg_order_value,date,year_2023,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
25,Plot the quarterly revenue trend for each product category in 2023.,answer,Trend,revenue,category,year_2023,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: revenue,False,False,missing expected grouping/filter evidence: category,False
26,How have cart abandonment rates changed week over week this year?,clarify_or_reject,Trend,order_count,,,cart-abandonment event data is not in the benchmark schema,False,cart-abandonment event data is not in the benchmark schema,False,False,cart-abandonment event data is not in the benchmark schema,False,False,cart-abandonment event data is not in the benchmark schema,False,False,cart-abandonment event data is not in the benchmark schema,False
27,Show the daily new‑customer acquisition trend for the past 180 days.,answer,Trend,order_count,date,last_180_days,,False,missing expected metric evidence: order_count,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
28,Display the trend of refunds as a percentage of sales for the last 12 months.,answer,Trend,refund,date,last_year,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
29,Chart the number of sold units per day for the top 5 products in the last quarter.,answer,Trend,quantity,product,,,False,missing expected grouping/filter evidence: product,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False
30,What is the trend of discount usage by month for the past year?,answer,Trend,discount,date,last_year,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
31,Compare sales between Electronics and Apparel.,answer,Comparison,revenue,category,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,missing expected metric evidence: revenue,False,False,SQL did not execute against seeded MySQL,False,False,missing expected grouping/filter evidence: category,False
32,Show revenue differences between the US and Canada for Q2 2023.,answer,Comparison,revenue,country,year_2023,,False,missing expected time/filter evidence: year_2023,False,False,missing expected metric evidence: revenue,False,False,SQL did not execute against seeded MySQL,False,False,missing expected grouping/filter evidence: country,False
33,Contrast the average order value of first‑time buyers vs. returning customers.,answer,Cohort,avg_order_value,customer,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
34,Compare the conversion rates of traffic from Google Ads vs. Facebook Ads.,clarify_or_reject,Comparison,order_count,,,ad-channel traffic data is not in the benchmark schema,False,ad-channel traffic data is not in the benchmark schema,False,False,ad-channel traffic data is not in the benchmark schema,False,False,ad-channel traffic data is not in the benchmark schema,False,False,ad-channel traffic data is not in the benchmark schema,False
35,How do the refund rates differ between the Clothing and Home‑Goods categories?,answer,Comparison,refund,category,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: refund,False
36,Contrast the monthly gross profit of the Top‑3 selling product lines.,answer,Comparison,profit,product,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
37,Compare the number of orders placed on mobile versus desktop in the last 30 days.,clarify_or_reject,Comparison,order_count,country,last_30_days,device-channel data is not in the benchmark schema,False,device-channel data is not in the benchmark schema,False,False,device-channel data is not in the benchmark schema,False,False,device-channel data is not in the benchmark schema,False,False,device-channel data is not in the benchmark schema,False
38,Show the difference in shipping costs between Standard and Express delivery methods.,answer,Comparison,shipping_cost,shipping_method,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected grouping/filter evidence: shipping_method,False
39,Compare the cart abandonment rate before and after the site redesign.,clarify_or_reject,Comparison,order_count,,,cart-abandonment event data is not in the benchmark schema; redesign event marker is not in the benchmark schema,False,cart-abandonment event data is not in the benchmark schema; redesign event marker is not in the benchmark schema,False,False,cart-abandonment event data is not in the benchmark schema; redesign event marker is not in the benchmark schema,False,False,cart-abandonment event data is not in the benchmark schema; redesign event marker is not in the benchmark schema,False,False,cart-abandonment event data is not in the benchmark schema; redesign event marker is not in the benchmark schema,False
40,List products with stock less than 10.,answer,Exception,stock,,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
41,Which items have not been sold in the past 60 days and have inventory below 5 units?,answer,Exception,quantity,,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,query asks for one aggregate value but SQL groups the result,False,False,query asks for one aggregate value but SQL groups the result,False,False,SQL did not execute against seeded MySQL,False
42,Show all products that are out of stock but have pending orders.,answer,Exception,order_count,,,,False,missing expected metric evidence: order_count,False,False,missing expected metric evidence: order_count,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: order_count,False
43,Identify SKUs with a sell‑through rate under 20% in the last month.,answer,Exception,order_count,,last_month,,False,missing expected metric evidence: order_count,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: order_count,False,False,missing expected metric evidence: order_count,False
44,List orders placed with invalid coupon codes in the past week.,clarify_or_reject,Exception,discount,,,coupon validity history is not in the benchmark schema,False,coupon validity history is not in the benchmark schema,False,False,coupon validity history is not in the benchmark schema,False,False,coupon validity history is not in the benchmark schema,False,False,coupon validity history is not in the benchmark schema,False
45,Which products have a rating below 3 stars and inventory over 20?,answer,Exception,stock,,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
46,"Find customers whose total spend exceeds $10,000 but have no orders in the last 90 days.",answer,Exception,revenue,,last_90_days,,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,query asks for one aggregate value but SQL groups the result,False,False,missing expected metric evidence: revenue,False
47,List categories where average discount exceeds 30% this quarter.,answer,Exception,discount,,current_quarter,,False,missing expected time/filter evidence: current_quarter,False,False,SQL did not execute against seeded MySQL,False,False,query asks for one aggregate value but SQL groups the result,False,False,missing expected time/filter evidence: current_quarter,False
48,Show orders with shipping delays greater than 5 days in the last month.,clarify_or_reject,Exception,order_count,,last_month,shipping-delay calculation is not a supported semantic metric,False,shipping-delay calculation is not a supported semantic metric,False,False,shipping-delay calculation is not a supported semantic metric,False,False,shipping-delay calculation is not a supported semantic metric,False,False,shipping-delay calculation is not a supported semantic metric,False
49,Give me an overview of product category performance.,answer,Summary,order_count,category,,,False,missing expected metric evidence: order_count,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected grouping/filter evidence: category,False
50,"Summarize total sales, average order value, and order count for each major product category this year.",answer,Summary,avg_order_value,category,,,False,missing expected metric evidence: avg_order_value,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected grouping/filter evidence: category,False
51,"Provide a dashboard of revenue, profit, and return rate by department for the last quarter.",clarify_or_reject,Summary,revenue,,,department grouping is not in the benchmark schema,False,department grouping is not in the benchmark schema,False,False,department grouping is not in the benchmark schema,False,False,department grouping is not in the benchmark schema,False,False,department grouping is not in the benchmark schema,False
52,Show a side‑by‑side summary of new vs. returning customer metrics for the past six months.,answer,Summary,order_count,customer,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
53,"What is the overall health score combining sales, stock levels, and refund rates for each category?",answer,Summary,refund,category,,,False,missing expected metric evidence: refund,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected grouping/filter evidence: category,False
54,"Give a month‑by‑month snapshot of revenue, units sold, and discount usage for the top 5 categories.",answer,Summary,discount,category,,,False,missing expected metric evidence: discount,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
55,"Summarize the performance of each marketing campaign in terms of revenue, new customers, and conversion rate.",clarify_or_reject,Summary,customer_count,customer,,marketing campaign performance is not linked to orders in the semantic layer,False,marketing campaign performance is not linked to orders in the semantic layer,False,False,marketing campaign performance is not linked to orders in the semantic layer,False,False,marketing campaign performance is not linked to orders in the semantic layer,False,False,marketing campaign performance is not linked to orders in the semantic layer,False
56,"Provide a high‑level view of orders, revenue, and average shipping cost per payment method for the last year.",answer,Summary,shipping_cost,payment_method,last_year,,False,missing expected metric evidence: shipping_cost,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
57,"Show a comparative summary of sales, returns, and net profit for each sales channel (online, mobile app, marketplace).",clarify_or_reject,Summary,profit,,,sales-channel grouping is not in the semantic layer,False,sales-channel grouping is not in the semantic layer,False,False,sales-channel grouping is not in the semantic layer,False,False,sales-channel grouping is not in the semantic layer,False,False,sales-channel grouping is not in the semantic layer,False
58,How many abandoned orders were there yesterday?,answer,KPI,order_count,,yesterday,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,query asks for one aggregate value but SQL groups the result,False
59,What is the average time from order placement to shipment for orders placed this week?,clarify_or_reject,KPI,shipment,,current_week,order-to-shipment duration is not a supported semantic metric,False,order-to-shipment duration is not a supported semantic metric,False,False,order-to-shipment duration is not a supported semantic metric,False,False,order-to-shipment duration is not a supported semantic metric,False,False,order-to-shipment duration is not a supported semantic metric,False
60,Which 7 product tags have generated the most sales in the past 90 days?,answer,Ranking,revenue,product,last_90_days,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
61,How many abandoned carts were recovered after a reminder email in the last month?,clarify_or_reject,KPI,order_count,,last_month,cart recovery event data is not in the benchmark schema,False,cart recovery event data is not in the benchmark schema,False,False,cart recovery event data is not in the benchmark schema,False,False,cart recovery event data is not in the benchmark schema,False,False,cart recovery event data is not in the benchmark schema,False
62,What is the total revenue contributed by customers who have placed more than 5 orders?,answer,Exception,revenue,,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,query asks for one aggregate value but SQL groups the result,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: revenue,False
63,Which payment method has the highest failure rate during checkout today?,clarify_or_reject,Ranking,order_count,payment_method,today,checkout failure data is not in the benchmark schema,False,checkout failure data is not in the benchmark schema,False,False,checkout failure data is not in the benchmark schema,False,False,checkout failure data is not in the benchmark schema,False,False,checkout failure data is not in the benchmark schema,False
64,What is the percentage of first‑time buyers versus repeat buyers for the current quarter?,answer,Cohort,customer_count,customer,current_quarter,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
65,Which 5 sales promotions produced the highest ROI in the last 6 weeks?,clarify_or_reject,Ranking,revenue,,,promotion ROI data is not in the benchmark schema,False,promotion ROI data is not in the benchmark schema,False,False,promotion ROI data is not in the benchmark schema,False,False,promotion ROI data is not in the benchmark schema,False,False,promotion ROI data is not in the benchmark schema,False
66,How many orders were placed using mobile devices versus desktop in the past 30 days?,clarify_or_reject,Comparison,order_count,country,last_30_days,device-channel data is not in the benchmark schema,False,device-channel data is not in the benchmark schema,False,False,device-channel data is not in the benchmark schema,False,False,device-channel data is not in the benchmark schema,False,False,device-channel data is not in the benchmark schema,False
67,What is the average discount amount applied per order for the last two weeks?,answer,KPI,discount,,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False
68,Which 8 product variants (size/color) have the highest return rate this month?,clarify_or_reject,Ranking,order_count,product,current_month,variant attributes are not in the semantic layer,False,variant attributes are not in the semantic layer,False,False,variant attributes are not in the semantic layer,False,False,variant attributes are not in the semantic layer,False,False,variant attributes are not in the semantic layer,False
69,What is the total number of gift‑wrapped orders shipped this week?,clarify_or_reject,KPI,shipment,,current_week,gift-wrap flag is not in the benchmark schema,False,gift-wrap flag is not in the benchmark schema,False,False,gift-wrap flag is not in the benchmark schema,False,False,gift-wrap flag is not in the benchmark schema,False,False,gift-wrap flag is not in the benchmark schema,False
70,How many orders included a free shipping coupon in the previous fiscal year?,clarify_or_reject,KPI,discount,,,coupon-type history is not in the semantic layer,False,coupon-type history is not in the semantic layer,False,False,coupon-type history is not in the semantic layer,False,False,coupon-type history is not in the semantic layer,False,False,coupon-type history is not in the semantic layer,False
71,"Which 6 customer segments (e.g., age, location) generate the most cross‑sell revenue?",clarify_or_reject,Ranking,revenue,customer,,age/segment/cross-sell model is not in the semantic layer,False,age/segment/cross-sell model is not in the semantic layer,False,False,age/segment/cross-sell model is not in the semantic layer,False,False,age/segment/cross-sell model is not in the semantic layer,False,False,age/segment/cross-sell model is not in the semantic layer,False
72,What is the average number of items per order for the top‑selling category this quarter?,answer,KPI,quantity,,current_quarter,,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: quantity,False
73,Which 4 referral programs have the lowest cost per acquisition over the last 12 months?,clarify_or_reject,Ranking,order_count,,last_year,referral-program acquisition-cost data is not in the benchmark schema,False,referral-program acquisition-cost data is not in the benchmark schema,False,False,referral-program acquisition-cost data is not in the benchmark schema,False,False,referral-program acquisition-cost data is not in the benchmark schema,False,False,referral-program acquisition-cost data is not in the benchmark schema,False
74,How many orders were placed using a saved payment method versus a new one today?,clarify_or_reject,Comparison,order_count,country,today,saved-payment-method flag is not in the benchmark schema,False,saved-payment-method flag is not in the benchmark schema,False,False,saved-payment-method flag is not in the benchmark schema,False,False,saved-payment-method flag is not in the benchmark schema,False,False,saved-payment-method flag is not in the benchmark schema,False
75,What is the total revenue from subscription‑based products in the last 90 days?,clarify_or_reject,KPI,revenue,,last_90_days,subscription product type is not in the semantic layer,False,subscription product type is not in the semantic layer,False,False,subscription product type is not in the semantic layer,False,False,subscription product type is not in the semantic layer,False,False,subscription product type is not in the semantic layer,False
76,Which 5 product bundles have the highest average order value when sold together?,clarify_or_reject,Ranking,avg_order_value,product,,bundle or basket-pair analysis is not directly supported,False,bundle or basket-pair analysis is not directly supported,False,False,bundle or basket-pair analysis is not directly supported,False,False,bundle or basket-pair analysis is not directly supported,False,False,bundle or basket-pair analysis is not directly supported,False
77,What is the percentage of orders that required manual fraud review this week?,clarify_or_reject,KPI,order_count,,current_week,fraud-review flag is not in the benchmark schema,False,fraud-review flag is not in the benchmark schema,False,False,fraud-review flag is not in the benchmark schema,False,False,fraud-review flag is not in the benchmark schema,False,False,fraud-review flag is not in the benchmark schema,False
78,Which 3 shipping carriers delivered orders on time at a rate above 98% this month?,clarify_or_reject,Exception,shipment,,current_month,carrier/on-time-rate data is not in the semantic layer,False,carrier/on-time-rate data is not in the semantic layer,False,False,carrier/on-time-rate data is not in the semantic layer,False,False,carrier/on-time-rate data is not in the semantic layer,False,False,carrier/on-time-rate data is not in the semantic layer,False
79,How many customers used a loyalty point redemption in their purchase today?,clarify_or_reject,KPI,order_count,,today,loyalty redemption detail is not in the semantic layer,False,loyalty redemption detail is not in the semantic layer,False,False,loyalty redemption detail is not in the semantic layer,False,False,loyalty redemption detail is not in the semantic layer,False,False,loyalty redemption detail is not in the semantic layer,False
80,What is the average customer lifetime value for the top 10% of spenders?,clarify_or_reject,KPI,avg_order_value,,,percentile/customer-lifetime-value calculation is not supported,False,percentile/customer-lifetime-value calculation is not supported,False,False,percentile/customer-lifetime-value calculation is not supported,False,False,percentile/customer-lifetime-value calculation is not supported,False,False,percentile/customer-lifetime-value calculation is not supported,False
81,Which 9 product categories saw a decline in sales compared to the same period last year?,answer,Exception,revenue,,last_year,,False,query asks for one aggregate value but SQL groups the result,False,False,SQL did not execute against seeded MySQL,False,False,missing expected metric evidence: revenue,False,False,query asks for one aggregate value but SQL groups the result,False
82,What is the total number of orders placed through the API in the past 24 hours?,clarify_or_reject,KPI,order_count,,,API order source is not in the semantic layer,False,API order source is not in the semantic layer,False,False,API order source is not in the semantic layer,False,False,API order source is not in the semantic layer,False,False,API order source is not in the semantic layer,False
83,Which 5 marketing email campaigns generated the highest click‑through rate this month?,clarify_or_reject,Ranking,order_count,,current_month,email click-through data is not in the benchmark schema,False,email click-through data is not in the benchmark schema,False,False,email click-through data is not in the benchmark schema,False,False,email click-through data is not in the benchmark schema,False,False,email click-through data is not in the benchmark schema,False
84,How many orders were placed during peak traffic hours (6 pm–9 pm) yesterday?,clarify_or_reject,KPI,order_count,,yesterday,hour-of-day traffic context is not in the semantic layer,False,hour-of-day traffic context is not in the semantic layer,False,False,hour-of-day traffic context is not in the semantic layer,False,False,hour-of-day traffic context is not in the semantic layer,False,False,hour-of-day traffic context is not in the semantic layer,False
85,What is the average shipping distance for orders shipped today?,clarify_or_reject,KPI,shipment,,today,shipping distance is not stored in the benchmark schema,False,shipping distance is not stored in the benchmark schema,False,False,shipping distance is not stored in the benchmark schema,False,False,shipping distance is not stored in the benchmark schema,False,False,shipping distance is not stored in the benchmark schema,False
86,Which 7 countries have the highest average order value for international shipments?,answer,Ranking,avg_order_value,country,,,True,executed SQL matches expected metric/grouping/time at conservative keyword level,False,False,SQL did not execute against seeded MySQL,False,False,SQL did not execute against seeded MySQL,False,False,missing expected grouping/filter evidence: country,False
87,How many orders were placed using a promotional code that expired within the last week?,clarify_or_reject,Exception,discount,,,promotion expiry history is not in the semantic layer,False,promotion expiry history is not in the semantic layer,False,False,promotion expiry history is not in the semantic layer,False,False,promotion expiry history is not in the semantic layer,False,False,promotion expiry history is not in the semantic layer,False
88,What is the total revenue lost due to out‑of‑stock items in the last quarter?,clarify_or_reject,KPI,quantity,,,lost revenue from stockout events is not stored,False,lost revenue from stockout events is not stored,False,False,lost revenue from stockout events is not stored,False,False,lost revenue from stockout events is not stored,False,False,lost revenue from stockout events is not stored,False
89,"Which 4 product attributes (e.g., material, brand) correlate most strongly with higher margins?",clarify_or_reject,Correlate,profit,product,,attribute-correlation analysis is not in the semantic layer,False,attribute-correlation analysis is not in the semantic layer,False,False,attribute-correlation analysis is not in the semantic layer,False,False,attribute-correlation analysis is not in the semantic layer,False,False,attribute-correlation analysis is not in the semantic layer,False
90,How many orders were placed by customers who signed up via social media login this month?,clarify_or_reject,Exception,order_count,,current_month,social-login source is not in the benchmark schema,False,social-login source is not in the benchmark schema,False,False,social-login source is not in the benchmark schema,False,False,social-login source is not in the benchmark schema,False,False,social-login source is not in the benchmark schema,False
91,"What is the average number of support tickets generated per 1,000 orders this week?",clarify_or_reject,KPI,order_count,,current_week,support-ticket data is not in the benchmark schema,False,support-ticket data is not in the benchmark schema,False,False,support-ticket data is not in the benchmark schema,False,False,support-ticket data is not in the benchmark schema,False,False,support-ticket data is not in the benchmark schema,False
92,Which 6 product pages have the highest bounce rate after view in the past 30 days?,clarify_or_reject,Ranking,order_count,product,last_30_days,product-page analytics are not in the benchmark schema,False,product-page analytics are not in the benchmark schema,False,False,product-page analytics are not in the benchmark schema,False,False,product-page analytics are not in the benchmark schema,False,False,product-page analytics are not in the benchmark schema,False
